material,label,trial,timestamp,reading
plastic,0,7,1743370116.314624,"[1.6199951171875, -4.019999694824218, 5.081933593749909, 0.9599853515625227, -0.09001464843754547, -4.017187500000091, -3.05999755859375, -1.0799926757812273, 1.597143554687591, -1.55999755859375, -0.80999755859375, 2.6135986328124545, -0.38999977111816264, -1.4399932861328182, -0.8712646484375455]"
plastic,0,7,1743370116.419277,"[-2.8800048828125, -0.26999969482421804, 0.725976562499909, -0.09000244140622726, -2.1899902343750455, -1.113134765625091, 2.6400146484375, -3.9299987792968523, -4.452783203124909, 2.94000244140625, -4.409996032714844, 0.9196289062499545, -0.09000053405761577, 0.060006713867181816, -7.4052001953125455]"
plastic,0,7,1743370116.523277,"[0.4199981689453125, -3.720000457763671, -0.24204101562509095, 4.110009765625023, -2.0400268554687955, 0.09682617187490905, -1.260009765625, -5.280004882812477, -2.758813476562409, 1.1399993896484375, 3.0900039672851562, 6.4856689453124545, -2.1900009155273423, 1.4099975585937443, -5.2272216796875455]"
plastic,0,7,1743370116.627268,"[-0.92999267578125, 1.230000305175782, -5.082006835937591, -0.38999023437497726, -4.2900268554687955, -4.743139648437591, -1.55999755859375, 3.1200195312500227, -0.580834960937409, -0.05999755859375, 0.8400039672851562, -1.5004150390625455, 7.710000610351564, 6.060006713867182, -9.583178710937545]"
plastic,0,7,1743370116.728181,"[-2.7299957275390625, -2.3700000762939446, 3.630029296874909, 5.459985351562523, -4.1400024414062955, -2.323217773437591, 6.3900146484375, -6.179998779296852, 6.679174804687591, -0.3600006103515625, -4.55999755859375, -8.034350585937545, 2.4599996566772475, 5.609994506835932, 2.5167968749999545]"
plastic,0,7,1743370116.8334012,"[0.57000732421875, 0.17999916076660227, 1.209985351562409, 3.2099853515625227, -3.5400268554687955, 3.484765624999909, 7.8900146484375, 2.6700073242187727, 0.38718261718759095, 2.339996337890625, 2.4899978637695312, -8.760424804687545, 0.36000022888183736, -4.739996337890631, -1.5972167968750455]"
plastic,0,7,1743370116.936463,"[-2.7299957275390625, 1.3799999237060554, -3.388037109375091, 1.1100097656250227, 1.2600219726562045, -7.647192382812591, -1.71002197265625, -3.0300048828124773, -2.032739257812409, 1.739990234375, -4.55999755859375, -0.048388671875045475, -0.5399993896484361, 3.210000610351557, -5.7112304687500455]"
plastic,0,7,1743370117.040212,"[-2.5800018310546875, -0.8700000762939446, 0.968041992187409, 1.5599609375000227, -2.4899780273437955, -2.807226562500091, 0.09002685546875, -5.280004882812477, 2.807226562500091, 2.0399932861328125, 0.09000396728515625, -6.5824462890625455, -5.789999389648436, -2.4899963378906307, -14.181201171875045]"
plastic,0,7,1743370117.144612,"[4.9199981689453125, -3.8700000762939446, -4.113989257812591, 4.110009765625023, -3.8400146484375455, -9.341162109375091, 5.6400146484375, -3.6299804687499773, -0.33876953124990905, 7.1399993896484375, -2.0100021362304688, -5.8563720703125455, -1.4400009155273423, 4.409997558593744, -6.4371826171875455]"
plastic,0,7,1743370117.2497668,"[2.3699951171875, 1.0800006866455085, 0.48403320312490905, 4.110009765625023, 2.3100097656249545, 0.33876953124990905, 1.1400146484375, -1.3799804687499773, 2.323217773437591, 5.6399993896484375, 2.19000244140625, -11.422412109375045, 1.8600002288818374, 1.7100006103515568, -0.14519042968754547]"
plastic,0,7,1743370117.352145,"[-3.3300018310546875, 1.3799999237060554, 8.954003906249909, 3.2099853515625227, -4.2900268554687955, -15.391210937500091, 0.53997802734375, -3.6299804687499773, -4.694848632812409, 6.3899993896484375, -2.0100021362304688, -4.6464111328125455, -3.539999389648436, 0.8100067138671818, 2.2747314453124545]"
plastic,0,7,1743370117.457386,"[-0.17999267578125, 1.5299995422363288, 1.935937499999909, 1.5599609375000227, -0.09001464843754547, 1.306787109374909, -1.1099853515625, -1.6799987792968523, -4.694848632812409, -1.8600006103515625, 1.1399993896484375, 1.6455810546874545, -2.9400009155273423, 3.810006713867182, -11.519213867187545]"
